시도,행정구역명,총인구(명),총면적,하수도설치율,공공하수처리구역 인구보급률,고도처리인구 보급률,인구밀도,인구밀도_정규화,하수도_인프라_지수,인프라_등급
대구광역시,북구,425441,93.947,96.6,99.8,99.8,4528.521400364035,9.822821983968026,80.8445643967936,높음
대구광역시,수성구,409035,76.536,94.1,99.6,99.6,5344.3477579178425,11.592432055687219,80.34848641113744,높음
대구광역시,달서구,539175,62.371,100.0,100.0,100.0,8644.642542207115,18.751106001246065,83.75022120024921,높음
대구광역시,달성군,268757,428.362,83.0,92.4,92.4,627.4062591919918,1.360907777795821,71.37218155555917,보통
대구광역시,군위군,23515,614.335,50.0,50.0,50.0,38.27716148355539,0.08302704350129322,40.01660540870026,낮음
인천광역시,중구,163728,140.38,73.4,92.2,92.2,1166.3199886023651,2.5298662878050417,68.62597325756101,보통
인천광역시,동구,60438,7.247,99.8,99.8,99.8,8339.726783496619,18.0897128105947,83.45794256211894,높음
인천광역시,미추홀구,417590,24.839,100.0,100.0,100.0,16811.868432706633,36.46664688811974,87.29332937762395,높음
인천광역시,연수구,409234,56.191,98.0,99.6,99.6,7282.910074567101,15.79737023699814,82.35947404739962,높음
인천광역시,남동구,504601,57.453,84.6,99.2,99.2,8782.848589281673,19.050888927614075,78.79017778552281,보통
인천광역시,부평구,509601,32.005,91.5,100.0,100.0,15922.543352601157,34.537610636452264,84.35752212729045,높음
인천광역시,계양구,283822,45.566,100.0,100.0,100.0,6228.810955537023,13.510922391381767,82.70218447827635,높음
인천광역시,서구,638605,119.057,75.2,99.1,99.1,5363.859327884963,11.634754628878406,74.43695092577566,보통
인천광역시,강화군,70034,411.407,24.8,39.2,39.2,170.23045305500392,0.36924710932692306,27.113849421865385,매우 낮음
인천광역시,옹진군,20773,172.95,34.9,60.8,60.8,120.10985834056086,0.2605304585519027,40.922106091710376,낮음
광주광역시,동구,108893,49.317,44.4,99.9,99.9,2208.0215747105462,4.789422627747532,64.22788452554951,보통
광주광역시,서구,286316,47.743,56.1,99.3,99.3,5997.025741993591,13.008156766608495,69.08163135332168,보통
광주광역시,남구,211227,60.961,63.6,99.0,99.0,3464.9530027394567,7.515834313157741,70.08316686263154,보통
광주광역시,북구,426867,120.261,70.1,98.9,98.9,3549.504827001272,7.699235791193551,72.01984715823872,보통
광주광역시,광산구,411282,222.69,80.9,98.5,98.5,1846.881314832278,4.006072794456911,74.32121455889138,보통
대전광역시,동구,223981,136.693,99.4,99.4,99.4,1638.5696414593283,3.5542236578799065,80.23084473157598,높음
대전광역시,중구,224849,62.192,99.4,99.6,99.6,3615.4006946231034,7.842170608080215,81.18843412161604,높음
대전광역시,서구,469624,95.542,98.9,99.3,99.3,4915.367063699734,10.661929443173394,81.45238588863467,높음
대전광역시,유성구,374575,176.612,94.3,94.3,94.3,2120.892125110412,4.600430019053129,76.36008600381062,보통
대전광역시,대덕구,172571,68.739,95.1,98.6,97.9,2510.5253204149026,5.4455839176773,78.77911678353546,보통
울산광역시,중구,210393,37.004,99.5,99.8,99.8,5685.682628904983,12.332821992755386,82.21656439855107,높음
