재난,발생시간,지점정보
호우주의보,2020-08-30 21:30,광주(156)
호우주의보,2020-08-30 22:30,청주(131)
호우주의보,2020-08-31 14:30,전주(146)
호우주의보,2020-08-31 15:15,홍성(177)
호우주의보,2020-08-31 16:05,정읍(245)
호우주의보,2020-08-31 17:00,전주(146)
호우주의보,2020-09-02 04:30,제주(184)
호우주의보,2020-09-02 07:00,대구(143)
호우주의보,2020-09-02 07:30,울산(152)
호우주의보,2020-09-02 08:10,창원(155)
호우주의보,2020-09-02 12:00,속초(90)
호우주의보,2020-09-02 19:00,동두천(98)
호우경보,2020-09-02 17:50,속초(90)
호우주의보,2020-09-03 08:30,부산(159)
호우주의보,2020-09-06 19:00,속초(90)
호우주의보,2020-09-06 22:00,울릉도(115)
호우주의보,2020-09-11 16:00,고흥(262)
호우주의보,2020-09-11 18:30,완도(170)
호우주의보,2020-09-11 19:00,순천(174)
호우주의보,2020-09-12 10:00,부산(159)
호우주의보,2020-09-12 16:00,부산(159)
호우주의보,2020-09-13 11:10,제주(184)
호우주의보,2020-09-13 12:30,제주(184)
호우주의보,2020-09-13 13:40,제주(184)
호우주의보,2020-09-13 18:40,제주(184)
호우주의보,2020-09-16 06:00,고흥(262)
호우주의보,2020-09-16 07:00,고흥(262)
호우주의보,2020-09-25 04:10,부산(159)
호우주의보,2020-09-25 06:00,부산(159)
호우주의보,2020-09-25 05:50,부산(159)
호우주의보,2020-09-25 09:00,부산(159)
호우주의보,2020-11-19 06:20,서울(108)
호우주의보,2020-11-19 10:00,제주(184)
호우주의보,2020-11-19 09:30,서울(108)
호우주의보,2020-11-19 11:10,임실(244)
호우주의보,2020-11-19 12:10,장수(248)
호우주의보,2020-11-19 13:00,제주(184)
호우주의보,2020-12-27 13:20,제주(184)
호우주의보,2020-12-27 14:00,포항(138)
호우주의보,2020-12-27 16:30,제주(184)
호우주의보,2021-02-01 01:00,울진(130)
호우경보,2021-02-01 06:00,제주(184)
호우경보,2021-02-01 12:00,동해(106)
호우주의보,2021-03-01 07:30,제주(184)
호우경보,2021-03-01 15:40,제주(184)
호우주의보,2021-03-01 20:10,울산(152)
호우주의보,2021-03-01 23:00,동해(106)
호우주의보,2021-03-04 13:20,제주(184)
호우주의보,2021-03-04 23:30,제주(184)
호우주의보,2021-03-12 04:00,제주(184)
호우주의보,2021-03-27 09:00,제주(184)
호우경보,2021-03-27 14:10,제주(184)
호우주의보,2021-03-27 16:30,제주(184)
호우주의보,2021-03-27 18:00,제주(184)
호우주의보,2021-03-27 19:00,산청(289)
